ID,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
3gnaVGnGQQx3tu48KObANR,0.0841,0.754,231278,0.553,0.205,4,0.0981,-12.42,0,0.0291,97.082,4,0.445
4CiqKccFFYGmFPz7HVTjfW,0.968,0.296,243467,0.284,0.189,10,0.0961,-14.01,0,0.033,114.786,4,0.0917
0X9Ge83Tn6QZ36hxjgkYqz,0.0078,0.559,246640,0.788,0.185,2,0.0642,-3.302,1,0.048,135.934,4,0.618
4C1t2nqv76ZfvQPOAACauL,0.1,0.415,186268,0.413,0.185,11,0.131,-8.026,0,0.0251,159.91,4,0.199
5Djt1AQnhfhYJjs4m7WS6G,0.974,0.428,209081,0.361,0.185,2,0.631,-11.111,1,0.0392,174.036,3,0.117
0ecC8p17cDNlxHXkuYqeR6,0.8,0.39,183103,0.448,0.182,5,0.107,-8.57,0,0.0276,144.89,5,0.077
6IPwKM3fUUzlElbvKw2sKl,0.113,0.566,184154,0.366,0.181,7,0.155,-12.808,1,0.028,129.96,4,0.237
6HSXNV0b4M4cLJ7ljgVVeh,0.251,0.513,149880,0.396,0.177,7,0.11,-13.061,1,0.0299,140.208,4,0.229
5sAYqcQTEQbTbxdcqI4b8v,0.463,0.698,202907,0.642,0.176,7,0.101,-8.905,0,0.0288,125.994,4,0.703
5jhBwnqzNNrENXnYrAdoCe,0.928,0.275,206623,0.155,0.176,7,0.0888,-17.285,0,0.0674,65.136,3,0.0588
2prqm9sPLj10B4Wg0wE5x9,0.29,0.349,343120,0.337,0.172,7,0.139,-10.671,1,0.0407,142.01,4,0.0365
5odlY52u43F5BjByhxg7wg,0.653,0.515,209260,0.593,0.162,4,0.25,-4.801,1,0.0322,94.467,3,0.153
4SSnFejRGlZikf02HLewEF,0.74,0.905,193143,0.389,0.162,8,0.106,-14.505,1,0.332,120.046,4,0.196
0WGSf4JIBvXNOBR94pEH0G,0.605,0.509,232629,0.598,0.158,3,0.0997,-7.537,1,0.0276,88.012,4,0.277
0Ym56sOv9rLAYPkwJeCQiH,0.000835,0.639,166062,0.537,0.154,7,0.0953,-13.57,0,0.0278,102.989,4,0.519
0NlGoUyOJSuSHmngoibVAs,0.174,0.188,305747,0.411,0.153,0,0.0843,-9.733,1,0.0484,187.376,3,0.159
